Airplane,Certification,Engine,Type,No,Seats,Useful,Profile,Source,Altitude,Speed,Burn,FuelCap,400NMSeats,MPG,SMPG,Range,Endurance
Pipistrel Alpha Electro,Certified,PEM 60MVLC,E,1,2,400,85% cruise,https://www.pipistrel-aircraft.com/aircraft/electric-flight/alpha-electro/#tab-id-2,5000,85,1.5,1.5,2,65.9,131.8,43,1.0
Diamond DA-62,Certified,AE330 x2,TD,2,7,1609,Econ cruise,https://www.flyingmag.com/we-fly-diamond-da62/,14000,170,11.8,86,8,16.6,116.0,1154,7.3
Diamond DA-40NG,Certified,AE300,TD,1,4,904,Econ cruise,https://www.flyingmag.com/we-fly-diamond-da40-ng/,9500,126,5.1,41,4,28.4,113.6,950,8.0
Cessna 172 JT-A,Certified,Continental CD-155,TD,1,4,860,Econ cruise,https://www.flyingmag.com/continental-receives-faa-and-easa-stc-for-cessna-172s-equipped-with-cd-155-diesel-engine/,8000,109,4.9,50,4,25.6,102.3,1058,10.2
Glasair Sportsman,Experimental,CD-155,TD,1,4,1000,65% Cruise,https://glasairaviation.com/sportsman/diesel-specs/,8000,122,5.8,50,5,24.2,96.8,991,8.6
Sling TSI,Experimental,Rotax 915,T,1,4,1015,Econ cruise,https://www.aopa.org/news-and-media/all-news/2019/july/pilot/breaking-boundaries,7500,147,7,45,5,24.2,96.6,872,6.4
Sling TSI,Experimental,Rotax 915,T,1,4,1015,High cruise,https://generalaviationnews.com/2019/03/04/flying-the-sling-tsi/,9000,155,8,45,5,22.3,89.1,794,5.6
Sling TSI,Experimental,Rotax 915,T,1,4,1015,Mid cruise,https://www.aopa.org/news-and-media/all-news/2019/july/pilot/breaking-boundaries,7500,152,8,45,5,21.9,87.4,779,5.6
Cirrus SR-20,Certified,Continental IO-360 ES,NA,1,4,950,55% power,https://www.planeandpilotmag.com/article/cirrus-sr20/,14000,149,8.1,60,4,21.2,84.6,1029,7.4
Diamond DA-62,Certified,AE330 x2,TD,2,7,1609,High cruise,https://www.flyingmag.com/we-fly-diamond-da62/,14000,195,18.6,86,7,12.1,84.4,804,4.6
Diamond DA-40NG,Certified,AE300,TD,1,4,904,High cruise,https://www.flyingmag.com/we-fly-diamond-da40-ng/,9500,150,8.2,41,4,21.0,84.1,675,5.0
Vari-Eze,Experimental,Continental O-200-A,NA,1,2,650,Max cruise,https://www.kitplanes.com/flight-review-back-to-the-future/,4500,151,4.2,36,3,41.3,82.7,1219,8.6
Piper Archer DX,Certified,Continental CD-155,TD,1,4,794,Econ cruise,https://www.ainonline.com/aviation-news/general-aviation/2018-11-21/pilot-report-piper-diesel-archer,10500,100,4.2,48,3,27.4,82.1,1093,11.4
Vari-Eze,Experimental,Continental O-200-A,NA,1,2,650,Econ cruise,https://www.kitplanes.com/flight-review-back-to-the-future/,11000,138,3.9,36,3,40.7,81.4,1205,9.2
Piper Mirage,Certified,Lycoming TIO-540,T,1,6,1223,26in/2200,https://www.aopa.org/news-and-media/all-news/2011/june/01/piper-mirage-pressurization,23000,184,13.4,120,5,15.8,79.0,1556,9.0
Lancair Evolution Piston,Experimental,Lycoming YTIO-550,T,1,4,1900,Econ cruise,https://www.flyingmag.com/we-fly-lancair-evolution-piston/,17500,202,11.9,168,10,19.5,78.1,2751,14.1
Glasair Sportsman,Experimental,CD-155,TD,1,4,1000,75% Cruise,https://glasairaviation.com/sportsman/diesel-specs/,8000,132,7.8,50,4,19.5,77.8,780,6.4
Technam P2010 TDI,Certified,Continental TD-170,TD,1,4,805,60% power,https://www.tecnam.com/aircraft/p2010tdi-the-first-tecnam-jet-diesel-aircraft/,9000,115,5.2,63,3,25.4,76.3,1336,12.1
Cirrus SR-20,Certified,Continental IO-360 ES,NA,1,4,950,65% power,https://www.planeandpilotmag.com/article/cirrus-sr20/,10000,155,9.4,60,4,19.0,75.9,912,6.4
Cirrus SR-20,Certified,Continental IO-360 ES,NA,1,4,950,LOP,https://philip.greenspun.com/flying/cirrus-sr20,,140,8.5,56,4,18.9,75.8,852,6.6
Beech Bonanza A36,Certified,Continental IO-550,NA,1,6,1130,Mid cruise,https://www.beechtalk.net/download/Economical-Baron-ABS-Article.pdf,10000,160,12.5,166,5,14.7,73.6,2045,13.3
Pipistrel Panthera,Certified,Lycoming IO-540,NA,1,4,1100,65% power,https://rightrudderaviation.com/panthera/,12000,193,12.2,55,5,18.2,72.8,774,4.5
Sonex Sonex,Experimental,Jaibru 3300,NA,1,2,530,Econ cruise,https://www.sonexaircraft.com/35-dollar-hamburger/,2000,113,3.6,17,2,36.1,72.2,477,4.7
Van's RV-10,Experimental,Lycoming IO-540,NA,1,4,1050,Econ cruise,https://www.pilotsofamerica.com/community/threads/the-van%E2%80%99s-rv-10-is-it-the-perfect-airplane.119616/,9000,155,10,60,5,17.8,71.3,853,6.0
Cirrus SR-20,Certified,Continental IO-360 ES,NA,1,4,950,75% power,https://www.planeandpilotmag.com/article/cirrus-sr20/,6500,160,10.4,60,4,17.7,70.8,843,5.8
Bristel 915,Certified,Rotax 915,T,1,2,500,Econ cruise,https://www.aopa.org/news-and-media/all-news/2020/april/pilot/bristell-915,15000,120,4,31,2,34.5,69.0,870,7.8
Technam P2010 TDI,Certified,Continental TD-170,TD,1,4,805,75% power,https://www.tecnam.com/aircraft/p2010tdi-the-first-tecnam-jet-diesel-aircraft/,9000,132,6.6,63,3,23.0,69.0,1194,9.5
Van's RV-10,Experimental,Lycoming IO-540,NA,1,4,1050,Econ cruise,https://www.pilotsofamerica.com/community/threads/the-van%E2%80%99s-rv-10-is-it-the-perfect-airplane.119616/,9000,165,11,60,5,17.3,69.0,818,5.5
Beech Bonanza A36,Certified,Continental IO-550,NA,1,6,1130,High cruise,https://www.beechtalk.net/download/Economical-Baron-ABS-Article.pdf,10000,177,15,166,5,13.6,67.9,1870,11.1
Sonex Sonex,Experimental,Jaibru 3300,NA,1,2,530,Mid cruise,https://www.sonexaircraft.com/35-dollar-hamburger/,5000,141,4.8,17,2,33.8,67.6,429,3.5
Mooney M-20C,Certified,Lycoming O-360,NA,1,4,950,"FT, 50 deg ROP",http://www.mooneypilots.com/mapalog/M20C%20Evaluation/M20C_Evaluation_Report.html,10000,139,9.5,52,4,16.8,67.3,691,5.5
Mooney M-20F,Certified,Lycoming IO-360,NA,1,4,950,"FT, 50 deg ROP",http://www.mooneypilots.com/mapalog/M20F%20Evaluation/M20F_Evaluation_Report.html,10000,145,10,64,4,16.7,66.7,856,6.4
Piper Archer DX,Certified,Continental CD-155,TD,1,4,794,Mid cruise,https://www.ainonline.com/aviation-news/general-aviation/2018-11-21/pilot-report-piper-diesel-archer,10500,109,5.7,48,3,22.0,66.0,863,8.4
Diamond DA-42,Certified,Thielert Centurion 1.7,TD,2,4,1053,70% power,https://www.aopa.org/news-and-media/all-news/2006/november/pilot/diamond-aircraft-da42-twin-star,11200,148,10.4,76,5,16.4,65.5,1008,7.3
Piper Archer DX,Certified,Continental CD-155,TD,1,4,794,75% cruise,https://www.ainonline.com/aviation-news/general-aviation/2018-11-21/pilot-report-piper-diesel-archer,10500,117,6.3,48,3,21.4,64.1,833,7.6
Cessna P210R,Certified,Continental TSIO-520,T,1,6,1629,75% cruise,https://cessnaowner.org/cessna-210-high-wing-cruiser/,,190,20.5,115,7,10.7,64.0,971,5.6
Mooney M-20J,Certified,Lycoming IO-360,NA,1,4,950,High cruise,http://www.mooneypilots.com/mapalog/M20J%20Evaluation/M20J_evaluation_report.html,10000,158,11.5,56,4,15.8,63.2,690,4.9
Beech Baron 58,Certified,Continental IO-520,NA,2,6,1640,Econ cruise,https://www.beechtalk.net/download/Economical-Baron-ABS-Article.pdf,10000,162,17.8,166,7,10.5,62.8,1430,9.3
Cirrus SR-22T,Certified,Continental TSIO-550,T,1,4,1260,Econ cruise,https://www.aopa.org/news-and-media/all-news/2013/may/pilot/cirrus-sr22t-more-of-a-good-thing,25000,171,12.7,92,6,15.5,61.9,1153,7.2
Pipistrel Panthera,Certified,Lycoming IO-540,NA,1,4,1100,75% power,https://rightrudderaviation.com/panthera/,8000,198,14.8,55,5,15.4,61.5,637,3.7
Diamond DA-42,Certified,Thielert Centurion 1.7,TD,2,4,1053,80% power,https://www.aopa.org/news-and-media/all-news/2006/november/pilot/diamond-aircraft-da42-twin-star,13200,155,11.6,76,4,15.4,61.5,938,6.6
Cessna Silver Eagle 210,Certified,Allison 250 B17,JP,1,6,1270,High cruise,https://www.silvereagleopa.com/for-pilots/,23000,173,16.2,115,5,12.3,61.4,1142,7.1
Cirrus SR-22T,Certified,Continental TSIO-550,T,1,5,1061,Mid cruise,https://www.flyingmag.com/aircrafts/pistons/cirrus-sr22t-tried-true-turbo/,16500,172,13,92,4,15.2,60.9,1131,7.1
